employee_id_hash,name,company_id,tenure_years,gender,marital_status,is_permanent,performance_score,performance_rating,has_promotion,behavior_avg,psychological_score,drive_score,mental_strength_score,adaptability_score,collaboration_score,has_quick_assessment,holistic_score,score_alignment,leadership_potential
b0c90386da284e0700645d006e6677e4,Taufik Sasmita,65,3,O,married,t,41.73581658368677,Excellent,1,92.5,87.125,85.0,85.7,87.8,90.0,1,89.16022727272727,0.6401479764926783,86.875
fc8b075db46508e71d2be3acc256f9c4,Ulfa Tampubolon,98,10,O,married,t,33.36713995943205,Good,0,90.3125,76.45,74.6,74.5,76.7,80.0,1,78.22875,0.660893431989894,76.17999999999999
b433953a6db73b535295bf0bc6eaeb8d,Vina Nasution,101,6,O,married,f,39.17407811931139,Good,1,87.08333333333333,83.975,84.0,80.3,81.6,90.0,1,84.4251923076923,0.664819537638627,83.675
6454006028096215decc7ea21c8e6edd,Citra Sutanto,69,4,O,single,t,46.95064232589588,Excellent,1,96.66666666666669,70.95,69.3,67.8,66.7,80.0,1,89.965,0.563724178308501,70.41499999999999
0932bfea2d3011d9f0fb94ef7fa05a3b,Rudi Setiawan,101,5,O,widow,t,40.63556457065585,Good,1,90.0,77.375,73.0,77.2,79.3,80.0,1,84.55535714285715,0.635371178736625,77.025
f52773fc05f209f8d45263992ce543e9,Umi Nugraha,69,4,O,married,f,36.79851250845166,Average,1,75.0,75.85,79.3,77.7,76.4,70.0,1,76.355,0.7047018299087188,76.315
2a9db7d3e4e55f32f17bdcc8aaad75d8,Putri Harahap,69,6,O,single,t,39.1255352715799,Good,1,82.5,84.625,81.8,84.5,82.2,90.0,1,83.20416666666667,0.6807723259641008,84.215
e4c2d7916d816845887f90a544ef0ad8,Lina Nasution,63,0,O,single,t,88.66351138156415,Good,0,87.5,22.5,6.0,7.0,7.0,70.0,1,107.93333333333337,0.0954043516371321,19.3
88c5252bccc012bc2bc25d2738996b9a,Hendra Susanto,66,3,O,widow,t,28.215530243927812,Good,1,94.58333333333331,82.275,79.3,77.7,82.1,90.0,1,76.90365384615384,0.6566885236119455,81.74000000000001
e54915156bc980c76d4d4f0efe9bd426,Umar Irawan,78,4,O,married,t,39.362181654270906,Average,1,93.75,85.175,84.3,83.7,82.7,90.0,1,86.94416666666667,0.6449097695524991,84.89
38b35a4b0ab4b3ec7c2c672e44a796e9,Putri Rachman,66,4,O,single,t,31.56498673740053,Average,1,79.64285714285715,76.45,74.6,74.5,76.7,80.0,1,73.50478021978023,0.7101524376652055,76.17999999999999
fa5a5cc7770eacf09db505a731e1c27a,Cahya Hidayat,78,4,O,married,t,27.27349560513861,Average,1,98.75,85.125,84.0,82.5,84.0,90.0,1,78.21249999999999,0.6425344001269596,84.825
2ed67b8db71a52d7071a68c2be201de1,Aditya Iskandar,82,13,O,married,t,38.045456909554275,Good,0,91.07142857142856,15.0,0.0,0.0,0.0,60.0,1,63.97527472527472,0.5448819020106603,12.0
262f33875cd997935a55cd3bcb781411,Vera Suharto,82,3,O,married,t,42.05024184740208,Good,1,90.625,86.1,84.0,86.4,84.0,90.0,1,88.55596153846153,0.6436509162708874,85.8
056470a2d6db000f56b97e1c8ce3f53e,Mega Nugraha,101,1,O,single,t,39.874915483434755,Average,0,78.57142857142857,13.0,4.0,5.0,3.0,40.0,1,61.17142857142857,0.5536085253508354,11.2
edbe111b2f6b45b81aa017790e6abfcd,Zaki Susanto,82,3,O,single,t,43.8058748403576,Excellent,1,100.0,83.85,85.6,83.9,85.9,80.0,1,92.17722222222224,0.602320211738427,84.13
725eca3dc41544617ebaf1ddc948dbe1,Lestari Simbolon,101,5,O,married,t,46.018619649451296,Good,1,97.08333333333331,77.375,73.0,77.2,79.3,80.0,1,91.2298076923077,0.5826787312493735,77.025
e53709e4103fce4c062858eb070a5274,Candra Nasution,101,5,O,widow,t,40.63556457065585,Good,1,90.0,77.375,73.0,77.2,79.3,80.0,1,84.55535714285715,0.635371178736625,77.025
c342db96f729ddb1213417a986dbf898,Citra Kusumah,72,0,O,single,t,40.70317782285328,Good,0,93.75,25.25,7.0,7.0,7.0,80.0,1,70.1,0.5209135332817336,21.6
2edf627057fa9eae0d046f9f33c83168,Erna Gunawan,63,7,O,widow,t,27.721433400946587,Need Improvement,0,90.0,86.60000000000001,84.7,86.4,85.3,90.0,1,76.40857142857143,0.6884958479655626,86.33500000000001
c794c256dabeefc5beff71f9ca88e6b3,Omar Pratama,66,4,O,married,t,29.55928452885857,Excellent,0,85.75,82.9,77.7,82.3,81.6,90.0,1,75.57681818181818,0.7013274024052004,82.285
836f7909853d1a60438f91cbf31432c9,Hendra Nugroho,70,3,O,single,t,29.34415145368493,Need Improvement,1,91.25,83.275,85.2,82.6,85.3,80.0,1,77.1575,0.6805049883018516,83.535
ffe45d6db9364eac779c7a11c2bf2c6f,Fajar Ramadhan,98,10,O,married,t,33.36713995943205,Good,0,90.3125,76.45,74.6,74.5,76.7,80.0,1,78.22875,0.660893431989894,76.17999999999999
73e07fcf9a1175164a65b3ab6d2a66ba,Ulfa Wahyudi,82,3,O,single,t,44.5946961159943,Excellent,1,95.71428571428572,78.225,75.6,80.6,76.7,80.0,1,89.87067460317462,0.5973642395901668,78.005
